4889,Nova Scotia. Township Records (Sydney County).
4891,Nova Scotia. Township Records (Cumberland County).
4894,Nova Scotia. Supreme Court.
4896,Nova Scotia. Court of Vice-Admiralty.
4897,Nova Scotia. Town Records (Halifax).
4898,Nova Scotia. Township Records (Annapolis).
4899,Nova Scotia. Township Records (Annapolis County).
4900,Nova Scotia. Township Records (Hants County).
4903,Nova Scotia. Township Records.
4909,Nova Scotia. Public Records.
4912,Province of Canada : Civil Secretary.
4914,Upper Canada. Indian Affairs.
4915,Nova Scotia. Land Records.
4918,New Brunswick. Court of General Quarter Sessions of the Peace (York County).
4919,New Brunswick. Public Records (Westmorland County).
4922,New Brunswick. Land Records (Queens County).
4923,New Brunswick. Land Records (Sunbury County).
4925,New Brunswick. Land Records (Kings County).
4926,New Brunswick. Land Records (Westmorland County).
4928,Parish of Maugerville (Anglican).
4929,"All Saints Church (St. Andrews, New Brunswick : Anglican)."
4931,New Brunswick. Land Records (Northumberland County).
4933,New Brunswick. Land Records (St. John County).
4935,New Brunswick. Land Records (York County).
4937,"St. Luke's Anglican Church (Annapolis County, Nova Scotia)."
4938,"Kirk-McColl United Church (St. Stephen, New Brunswick)."
4939,"St. Mark's Anglican Church (Niagara-on-the-Lake, Ontario)."
4940,"St. Andrew's Presbyterian Church (Niagara-on-the-Lake, Ontario)."
4941,Nova Scotia. Church Records.
4945,Great Britain. Audit Office.
4946,New Brunswick. Court of General Quarter Sessions of the Peace (Northumberland County).
4947,New Brunswick. Court of General Quarter Sessions of the Peace (Westmorland County).
4948,New Brunswick. Court of General Quarter Sessions of the Peace (Kings County).
4951,New Brunswick. Probate Court (Sunbury County).
4952,New Brunswick. Probate Court (Westmorland County).
4953,New Brunswick. Probate Court (Gloucester County).
4954,New Brunswick. Probate Court (Queens County).
4955,New Brunswick. Probate Court (Kings County).
4956,New Brunswick. Probate Court (Charlotte County).
4957,New Brunswick. Probate Court (St. John County).
4958,New Brunswick. Probate Court (York County).
4960,New Brunswick. Inferior Court of Common Pleas (Northumberland County).
4961,New Brunswick. Court Records (Northumberland County).
4964,New Brunswick. Executive Council. Land Committee Records.
4967,"New Brunswick. College of New Brunswick (Fredericton, NB)."
4968,New Brunswick. Supreme Court.
4972,New Brunswick. Lieutenant Governor.
4973,New Brunswick. Chancery Court.
4974,New Brunswick. Court of General Quarter Sessions of the Peace (Charlotte County).
4975,New Brunswick. Inferior Court of Common Pleas (Queens County).
4976,New Brunswick. Court of General Quarter Sessions of the Peace (Queens County).
4978,New Brunswick. Land Records (Charlotte County).
4979,Nova Scotia. Lieutenant Governor.
4982,"Queen's University (Kingston, Ont.). Archives."
4983,University College of Cape Breton. Beaton Institute.
4984,Archives of Ontario.
4985,Nova Scotia. Legislative Library.
4986,Grand Manan Museum.
4987,University of New Brunswick. Archives.
4990,"Henry E. Huntington Library (San Marino, California)."
4991,Saint John Regional Library.
4992,"Mount Allison University (Sackville, NB). Archives."
4993,McGill University. McLennan Library. Department of Rare Books and Special Collections.
4995,University of Toronto. Library.
4996,Metropolitan Toronto Library.
4998,New Brunswick Museum. Archives.
4999,Brome County Historical Society.
5000,Niagara Historical Society.
5002,"Hannay, James, 1842-1910."
5003,"St. Paul's Church (Rawdon, Nova Scotia : Anglican)."
5004,"St. Paul's Church (Halifax, Nova Scotia : Anglican)."
5006,Great Britain. Treasury.
5007,"Trinity Anglican Church (Digby, Nova Scotia)."
5008,"Annapolis Circuit Methodist Church (Annapolis Valley, Nova Scotia)."
5009,"Christ Church (Dartmouth, Nova Scotia : Anglican)."
5013,"Parish of St. George's (Parrsboro, Nova Scotia : Anglican)."
5014,"Methodist Circuit (Shelburne-Barrington, Nova Scotia)."
5015,"Free Church Congregation (Earltown, Nova Scotia : Presbyterian)."
5016,"Viets, Roger, 1738-1811."
5017,Great Britain. Army. King's New Brunswick Regiment.
5018,"St. James Anglican Parish (Newport and Walton, Nova Scotia)."
5019,"St. Mary's Church (Aylesford, Nova Scotia : Anglican)."
5020,"Barrington Methodist Church (Shelburne County, Nova Scotia)."
5021,Acadia University. Library.
5022,"St. Stephen's Church (Chester, Nova Scotia : Anglican)."
5023,"St. John's Anglican Church (Lunenburg, Nova Scotia)."
5024,"St. John's Church (Cornwallis, Nova Scotia : Anglican)."
5025,Nova Scotia. Church of England.
5026,Nova Scotia. King's College.
5027,"Christ Church (Fredericton, New Brunswick : Anglican)."
5028,"Parish of Lancaster (Lancaster, New Brunswick : Anglican)."
5029,"St. Anne's Church (Campobello, New Brunswick : Anglican)."
5030,Parish of Kingsclear (Anglican).
5031,United Church of Canada. Maritime Conference Archives.
5032,Parish of Chatham (Anglican).
5033,Parish of Grand Falls (Anglican).
5034,"Trinity Church (Kingston, New Brunswick : Anglican)."
5035,Parishes of Greenwich and Westfield (Anglican).
5036,"St. Martin's-in-the-Woods (Shediac, New Brunswick : Anglican)."
5037,"St. Paul's United Church (Sussex, New Brunswick)."
5038,"La Paroisse Immacule-Conception (Trois-Rivieres, Quebec : Catholic)."
5039,"St. Lawrence Lutheran Church (Morrisburg, Ontario)."
5040,"St. Andrew's Church (Williamstown, Ontario : Presbyterian)."
5041,"St. Andrew's Roman Catholic Church (St. Andrew's West, Ontario)."
5042,"Evangelical Lutheran Church (Camden East, Ernestown, Fredericksburgh and Richmond, Ontario)."
5043,"United Anglican Missions of Williamsburg, Matilda, Osnabruck and Edwardsburg (Ontario)."
5044,National Archives of Canada. Church Records.
5045,Great Britain. Church Records.
5047,New Brunswick. Court of General Quarter Sessions of the Peace (Sunbury County).
5048,Great Britain. Foreign Office.
5049,"Coke, Daniel Parker, 1745-1825."
5050,Baxter Family.
5051,"Antliff, W. Bruce."
5053,"Ball, Jacob."
5054,"Askin, John, 1739-1815."
5055,Anonymous.
5056,Barker Family.
5057,Blakeney Family.
5058,"Brudenell, Edward, fl.1780's."
5059,Bates Family.
5060,"Berczy, William von Moll [1744]-1813."
5062,"Botsford, Amos, 1744/45-1812."
5063,Botsford Family.
5065,"Skinner, Stephen, d.1809."
5066,Clark and Flewelling Families.
5067,"Cartwright, Richard, Jr., 1759-1815."
5069,"Blowers, Sampson Salter, [1743]-1842."
5071,"Arnold, Benedict, 1741/42-1801."
5073,"Cutler, Ebenezer, [d. 1831]."
5074,"Bailey, Jacob, 1731-1808."
5075,Claus Family.
5076,Jouet Family.
5077,"DesBarres, Joseph Frederick Wallet, 1721-1824."
5078,Byles Family.
5079,"Magee, Henry, 1739-1806."
5080,"Hill, Charles, 1748-1825."
5081,Hill Family.
5082,"Brant, Joseph."
5083,"White, Gideon : 1753-1833."
5084,"Haldimand, Frederick, Sir, 1718-1791."
5086,"Chipman, Ward, 1754-1824."
5088,"Amherst, Jeffery, 1st Baron Amherst, 1717-1797."
5089,"Jessup, Edward, 1735-1816."
5090,Rogers Family.
5091,"Chalmers, George, 1742-1825."
5092,Smith-Morehouse Family.
5093,Robinson Family.
5094,Clements Family.
5095,Clemens/Clements Family.
5096,"Bouquet, Henry, 1719-1765."
5097,"Dorchester, Guy Carleton, 1st Baron, 1724-1808."
5098,"Cornwallis, Charles, 1st Marquis Cornwallis, 1738-1805."
5099,"Andre, John, 1750-1780."
5100,"Wiswall, John, 1731-1812."
5101,"Wiswall, Peleg, 1762-1836."
5102,Russell Family
5103,"Dalhousie, George Ramsay, 9th Earl of, 1770-1838."
5104,"Dartmouth, William Legge, 2nd Earl of, 1731-1801."
5105,McCormick Family
5106,Gillmore Family.
5108,"Robinson, John Beverley, Sir, 1791-1863."
5109,"Walsh (Welch), Thomas, 1742-1816."
5111,America. Public Records.
5112,"Goring, Francis, 1754-1833."
5113,"Harris, John, 1782-1850."
5114,"Boulton, Henry John, 1790-1870."
5115,"Denison, John, 1755-1824."
5116,"Elmsley, John, 1762-1805, and John Simcoe Macaulay, 1791-1855."
5117,"Colden, Cadwallader II, 1722-1797."
5118,"Jones, Solomon, 1756-1822."
5119,"Pope, Richard, (fl.1770s)."
5120,"Poor, Enoch, fl.1759."
5121,"Peebles, John, d.1824."
5123,"Strachan, John, 1778-1867."
5124,Merritt Family.
5125,"Merritt, William Hamilton, 1793-1862."
5126,"Robertson, William, 1760-1806."
5127,Pringle Family.
5128,Schaffer/Shaver Family.
5130,"Oxnard, Edward, 1747-1803."
5131,"McColl, Duncan, 1754-1830."
5132,"Nelles, Abraham, 1775-1839."
5133,"Nelles, Robert, 1761-1842."
5134,Nelles Family.
5135,"Jarvis, William, 1756-1817."
5136,"Porteous, John, d.1799."
5137,Morse Family.
5138,"Lynch, Michael."
5139,"Lynch, Thomas."
5140,"Simcoe, John Graves, 1752-1806."
5142,Hubbard Family.
5143,"Hubbard, William, 1751-1813."
5144,Rainsford Family.
5145,"Winsloe/Winslow, John Hodges."
5146,"Winslow, Edward, 1746/47-1815."
5148,"Saunders, John, 1754-1834."
5149,Jarvis Family.
5150,"Jarvis, Edward James, 1788-1852."
5151,"Jarvis, Munson, 1742-1825."
5152,Macaulay Family.
5153,"Street, Samuel, 1775-1844."
5154,"Stone, Joel, 1749-1833."
5155,"Inglis, Charles, 1734-1816."
5157,Jarvis-Powell Family.
5158,"Ridout, Thomas, 1754-1829."
5159,"Winslow, Charlotte, 1904-1993."
5160,"Tottenham, John."
5161,"Odell, Jonathan, 1737-1818."
5162,Simcoe Family.
5163,Miller Family.
5165,"Purdy, Gilbert."
5166,Parrot Family.
